['.', '()', '().', '(())', '(()).', '(()())', '(()()).']
['.', '()', '().', '(())', '(().)', '(().).', '(().())']
['.', '()', '().', '(())', '(().)', '(().).', '(().)()']
['.', '()', '().', '(())', '(().)', '(().).', '(().)..']
['.', '()', '().', '(())', '(().)', '(().).', '(()...)']
['.', '()', '().', '(())', '(().)', '(().).', '((...))']
['.', '()', '().', '(())', '(().)', '(().).', '(.(..))']
['.', '()', '().', '(())', '(().)', '(()..)', '(().)()']
['.', '()', '().', '(())', '(().)', '(()..)', '(()..).']
['.', '()', '().', '(())', '(().)', '(()..)', '(()...)']
['.', '()', '().', '(())', '().()', '(()())', '(()().)']
['.', '()', '().', '(())', '().()', '(())()', '(())().']
['.', '()', '().', '(())', '().()', '(())()', '(())(.)']
['.', '()', '().', '(())', '().()', '(())()', '(().())']
['.', '()', '().', '(())', '().()', '(())()', '().(())']
['.', '()', '().', '(())', '().()', '(())()', '().()()']
['.', '()', '().', '(())', '().()', '()(())', '(()().)']
['.', '()', '().', '(())', '().()', '()(())', '()(()).']
['.', '()', '().', '(())', '().()', '()(())', '()(().)']
['.', '()', '().', '(())', '().()', '()(())', '().()()']
['.', '()', '().', '(())', '().()', '()(())', '(.(()))']
['.', '()', '().', '(())', '().()', '()(())', '.((()))']
['.', '()', '().', '(())', '().()', '().().', '(()().)']
['.', '()', '().', '(())', '().()', '().().', '(())(.)']
['.', '()', '().', '(())', '().()', '().().', '((.()))']
['.', '()', '().', '(())', '().()', '().().', '()(().)']
['.', '()', '().', '(())', '().()', '().().', '().(())']
['.', '()', '().', '(())', '().()', '().().', '().()()']
['.', '()', '().', '(())', '().()', '().().', '().()..']
['.', '()', '().', '(())', '().()', '().().', '().(..)']
['.', '()', '().', '(())', '().()', '().().', '.(.().)']
['.', '()', '().', '(())', '().()', '().(.)', '(()(.))']
['.', '()', '().', '(())', '().()', '().(.)', '()((.))']
['.', '()', '().', '(())', '().()', '().(.)', '().()()']
['.', '()', '().', '(())', '().()', '().(.)', '().(.).']
['.', '()', '().', '(())', '().()', '().(.)', '().(..)']
['.', '()', '().', '(())', '().()', '().(.)', '.(.(.))']
['.', '()', '().', '(())', '().()', '.(.())', '((.()))']
['.', '()', '().', '(())', '().()', '.(.())', '().()()']
['.', '()', '().', '(())', '().()', '.(.())', '.(.()).']
['.', '()', '().', '(())', '().()', '.(.())', '.(.().)']
['.', '()', '().', '()()', '(().)', '(().).', '(().())']
['.', '()', '().', '()()', '(().)', '(().).', '(().)()']
['.', '()', '().', '()()', '(().)', '(().).', '(().)..']
['.', '()', '().', '()()', '(().)', '(().).', '(()...)']
['.', '()', '().', '()()', '(().)', '(().).', '(.()())']
['.', '()', '().', '()()', '(().)', '(().).', '(.())()']
['.', '()', '().', '()()', '(().)', '(().).', '(.())..']
['.', '()', '().', '()()', '(().)', '(().).', '(.()..)']
['.', '()', '().', '()()', '(().)', '(().).', '(.(..))']
['.', '()', '().', '()()', '(().)', '(()..)', '(().)()']
['.', '()', '().', '()()', '(().)', '(()..)', '(()..).']
['.', '()', '().', '()()', '(().)', '(()..)', '(()...)']
['.', '()', '().', '()()', '(().)', '(()..)', '(.())()']
['.', '()', '().', '()()', '(().)', '(()..)', '(.().).']
['.', '()', '().', '()()', '(().)', '(()..)', '(.()..)']
['.', '()', '().', '()()', '(().)', '(.()).', '(()(.))']
['.', '()', '().', '()()', '(().)', '(.()).', '(().())']
['.', '()', '().', '()()', '(().)', '(.()).', '(().)()']
['.', '()', '().', '()()', '(().)', '(.()).', '(().)..']
['.', '()', '().', '()()', '(().)', '(.()).', '(()...)']
['.', '()', '().', '()()', '(().)', '(.()).', '()()(.)']
['.', '()', '().', '()()', '(().)', '(.()).', '(.()())']
['.', '()', '().', '()()', '(().)', '(.()).', '(.())()']
['.', '()', '().', '()()', '(().)', '(.()).', '(.())..']
['.', '()', '().', '()()', '(().)', '(.()).', '(.()..)']
['.', '()', '().', '()()', '(().)', '(.()).', '(.(..))']
['.', '()', '().', '()()', '(().)', '(.().)', '(().)()']
['.', '()', '().', '()()', '(().)', '(.().)', '(()..).']
['.', '()', '().', '()()', '(().)', '(.().)', '(()...)']
['.', '()', '().', '()()', '(().)', '(.().)', '(.())()']
['.', '()', '().', '()()', '(().)', '(.().)', '(.().).']
['.', '()', '().', '()()', '(().)', '(.().)', '(.()..)']
['.', '()', '().', '()()', '()().', '((()))', '((())).']
['.', '()', '().', '()()', '()().', '((()))', '((()).)']
['.', '()', '().', '()()', '()().', '((()))', '(()..).']
['.', '()', '().', '()()', '()().', '((()))', '(()...)']
['.', '()', '().', '()()', '()().', '((()))', '()().()']
['.', '()', '().', '()()', '()().', '(()..)', '(().())']
['.', '()', '().', '()()', '()().', '(()..)', '(()..).']
['.', '()', '().', '()()', '()().', '(()..)', '(()...)']
['.', '()', '().', '()()', '()().', '(()..)', '()().()']
['.', '()', '().', '()()', '()().', '(()..)', '(.()())']
['.', '()', '().', '()()', '()().', '(()..)', '(.().).']
['.', '()', '().', '()()', '()().', '(()..)', '(.()..)']
['.', '()', '().', '()()', '()().', '()(())', '()(()).']
['.', '()', '().', '()()', '()().', '()(())', '()(().)']
['.', '()', '().', '()()', '()().', '()(())', '()().()']
['.', '()', '().', '()()', '()().', '()(())', '(.(()))']
['.', '()', '().', '()()', '()().', '()(())', '.((()))']
['.', '()', '().', '()()', '()().', '()()()', '((()).)']
['.', '()', '().', '()()', '()().', '()()()', '(().())']
['.', '()', '().', '()()', '()().', '()()()', '()(().)']
['.', '()', '().', '()()', '()().', '()()()', '()()().']
['.', '()', '().', '()()', '()().', '()()()', '()()(.)']
['.', '()', '().', '()()', '()().', '()()()', '()().()']
['.', '()', '().', '()()', '()().', '()()()', '()(.())']
['.', '()', '().', '()()', '()().', '()()()', '().(())']
['.', '()', '().', '()()', '()().', '()()()', '(.()())']
['.', '()', '().', '()()', '()().', '()()()', '.(()())']
['.', '()', '().', '()()', '()().', '()()..', '((()).)']
['.', '()', '().', '()()', '()().', '()()..', '((().))']
['.', '()', '().', '()()', '()().', '()()..', '(()...)']
['.', '()', '().', '()()', '()().', '()()..', '()(().)']
['.', '()', '().', '()()', '()().', '()()..', '()((.))']
['.', '()', '().', '()()', '()().', '()()..', '()()(.)']
['.', '()', '().', '()()', '()().', '()()..', '()().()']
['.', '()', '().', '()()', '()().', '()()..', '()()...']
['.', '()', '().', '()()', '()().', '()()..', '()(...)']
['.', '()', '().', '()()', '()().', '()()..', '().(..)']
['.', '()', '().', '()()', '()().', '()()..', '(.()..)']
['.', '()', '().', '()()', '()().', '()()..', '.(()..)']
['.', '()', '().', '()()', '()().', '()(..)', '()().()']
['.', '()', '().', '()()', '()().', '()(..)', '()(.())']
['.', '()', '().', '()()', '()().', '()(..)', '()(..).']
['.', '()', '().', '()()', '()().', '()(..)', '()(...)']
['.', '()', '().', '()()', '()().', '()(..)', '(.(..))']
['.', '()', '().', '()()', '()().', '()(..)', '.((..))']
['.', '()', '().', '()()', '()().', '().(.)', '(()(.))']
['.', '()', '().', '()()', '()().', '().(.)', '()((.))']
['.', '()', '().', '()()', '()().', '().(.)', '()().()']
['.', '()', '().', '()()', '()().', '().(.)', '().(())']
['.', '()', '().', '()()', '()().', '().(.)', '().(.).']
['.', '()', '().', '()()', '()().', '().(.)', '().(..)']
['.', '()', '().', '()()', '()().', '().(.)', '(..(.))']
['.', '()', '().', '()()', '()().', '().(.)', '.(.(.))']
['.', '()', '().', '()()', '()().', '(.().)', '()().()']
['.', '()', '().', '()()', '()().', '(.().)', '(.()())']
['.', '()', '().', '()()', '()().', '(.().)', '(.().).']
['.', '()', '().', '()()', '()().', '(.().)', '(.()..)']
['.', '()', '().', '()()', '()().', '(.().)', '(.(..))']
['.', '()', '().', '()()', '()().', '(.().)', '(..(.))']
['.', '()', '().', '()()', '()().', '.(().)', '((().))']
['.', '()', '().', '()()', '()().', '.(().)', '()().()']
['.', '()', '().', '()()', '()().', '.(().)', '.(()())']
['.', '()', '().', '()()', '()().', '.(().)', '.(().).']
['.', '()', '().', '()()', '()().', '.(().)', '.(()..)']
['.', '()', '().', '()()', '()().', '.(().)', '.((..))']
['.', '()', '().', '()()', '()().', '.(().)', '.(.(.))']
['.', '()', '().', '()()', '()(.)', '()()()', '(().())']
['.', '()', '().', '()()', '()(.)', '()()()', '()()().']
['.', '()', '().', '()()', '()(.)', '()()()', '()()(.)']
['.', '()', '().', '()()', '()(.)', '()()()', '()(.())']
['.', '()', '().', '()()', '()(.)', '()()()', '()(.)()']
['.', '()', '().', '()()', '()(.)', '()()()', '().(())']
['.', '()', '().', '()()', '()(.)', '()()()', '(.()())']
['.', '()', '().', '()()', '()(.)', '()()()', '.(()())']
['.', '()', '().', '()()', '()(.)', '()(.).', '(((.)))']
['.', '()', '().', '()()', '()(.)', '()(.).', '()()(.)']
['.', '()', '().', '()()', '()(.)', '()(.).', '()(.())']
['.', '()', '().', '()()', '()(.)', '()(.).', '()(.)()']
['.', '()', '().', '()()', '()(.)', '()(.).', '()(.)..']
['.', '()', '().', '()()', '()(.)', '()(.).', '()(...)']
['.', '()', '().', '()()', '()(.)', '()(.).', '(.(.).)']
['.', '()', '().', '()()', '()(.)', '()(.).', '.((.).)']
['.', '()', '().', '()()', '()(.)', '()(..)', '()(.)()']
['.', '()', '().', '()()', '()(.)', '()(..)', '()(..).']
['.', '()', '().', '()()', '()(.)', '()(..)', '()(...)']
['.', '()', '().', '()()', '()(.)', '()(..)', '(.(..))']
['.', '()', '().', '()()', '()(.)', '()(..)', '.((..))']
['.', '()', '().', '()()', '()(.)', '(.(.))', '()(.)()']
['.', '()', '().', '()()', '()(.)', '(.(.))', '(.(.)).']
['.', '()', '().', '()()', '()(.)', '(.(.))', '(.(.).)']
['.', '()', '().', '()()', '()(.)', '.((.))', '(((.)))']
['.', '()', '().', '()()', '()(.)', '.((.))', '()(.)()']
['.', '()', '().', '()()', '()(.)', '.((.))', '.((.)).']
['.', '()', '().', '()()', '()(.)', '.((.))', '.((.).)']
['.', '()', '().', '()()', '().()', '(()())', '(()()).']
['.', '()', '().', '()()', '().()', '(()())', '(()().)']
['.', '()', '().', '()()', '().()', '()(())', '(()().)']
['.', '()', '().', '()()', '().()', '()(())', '()(()).']
['.', '()', '().', '()()', '().()', '()(())', '()(().)']
['.', '()', '().', '()()', '().()', '()(())', '().()()']
['.', '()', '().', '()()', '().()', '()(())', '(.(()))']
['.', '()', '().', '()()', '().()', '()(())', '.((()))']
['.', '()', '().', '()()', '().()', '()()()', '(().())']
['.', '()', '().', '()()', '().()', '()()()', '()()().']
['.', '()', '().', '()()', '().()', '()()()', '()()(.)']
['.', '()', '().', '()()', '().()', '()()()', '()(.())']
['.', '()', '().', '()()', '().()', '()()()', '().(())']
['.', '()', '().', '()()', '().()', '()()()', '().()()']
['.', '()', '().', '()()', '().()', '()()()', '(.()())']
['.', '()', '().', '()()', '().()', '()()()', '.(()())']
['.', '()', '().', '()()', '().()', '().().', '(()().)']
['.', '()', '().', '()()', '().()', '().().', '((.()))']
['.', '()', '().', '()()', '().()', '().().', '()(().)']
['.', '()', '().', '()()', '().()', '().().', '()()(.)']
['.', '()', '().', '()()', '().()', '().().', '().(())']
['.', '()', '().', '()()', '().()', '().().', '().()()']
['.', '()', '().', '()()', '().()', '().().', '().()..']
['.', '()', '().', '()()', '().()', '().().', '().(..)']
['.', '()', '().', '()()', '().()', '().().', '(..().)']
['.', '()', '().', '()()', '().()', '().().', '.(.().)']
['.', '()', '().', '()()', '().()', '().(.)', '(()(.))']
['.', '()', '().', '()()', '().()', '().(.)', '()((.))']
['.', '()', '().', '()()', '().()', '().(.)', '().()()']
['.', '()', '().', '()()', '().()', '().(.)', '().(.).']
['.', '()', '().', '()()', '().()', '().(.)', '().(..)']
['.', '()', '().', '()()', '().()', '().(.)', '(..(.))']
['.', '()', '().', '()()', '().()', '().(.)', '.(.(.))']
['.', '()', '().', '()()', '().()', '(..())', '().()()']
['.', '()', '().', '()()', '().()', '(..())', '(.(()))']
['.', '()', '().', '()()', '().()', '(..())', '(..()).']
['.', '()', '().', '()()', '().()', '(..())', '(..().)']
['.', '()', '().', '()()', '().()', '.(.())', '((.()))']
['.', '()', '().', '()()', '().()', '.(.())', '().()()']
['.', '()', '().', '()()', '().()', '.(.())', '.((()))']
['.', '()', '().', '()()', '().()', '.(.())', '.(.()).']
['.', '()', '().', '()()', '().()', '.(.())', '.(.().)']
['.', '()', '().', '()()', '(.())', '()()()', '()()().']
['.', '()', '().', '()()', '(.())', '()()()', '()()(.)']
['.', '()', '().', '()()', '(.())', '()()()', '()(.())']
['.', '()', '().', '()()', '(.())', '()()()', '().(())']
['.', '()', '().', '()()', '(.())', '()()()', '(.()())']
['.', '()', '().', '()()', '(.())', '()()()', '(.())()']
['.', '()', '().', '()()', '(.())', '()()()', '.(()())']
['.', '()', '().', '()()', '(.())', '(.()).', '()()(.)']
['.', '()', '().', '()()', '(.())', '(.()).', '(.()())']
['.', '()', '().', '()()', '(.())', '(.()).', '(.())()']
['.', '()', '().', '()()', '(.())', '(.()).', '(.())..']
['.', '()', '().', '()()', '(.())', '(.()).', '(.()..)']
['.', '()', '().', '()()', '(.())', '(.()).', '(.(.).)']
['.', '()', '().', '()()', '(.())', '(.()).', '(..().)']
['.', '()', '().', '()()', '(.())', '(.().)', '(.())()']
['.', '()', '().', '()()', '(.())', '(.().)', '(.().).']
['.', '()', '().', '()()', '(.())', '(.().)', '(.()..)']
['.', '()', '().', '()()', '(.())', '(.().)', '(.(..))']
['.', '()', '().', '()()', '(.())', '(.().)', '(..(.))']
['.', '()', '().', '()()', '(.())', '(.(.))', '(.())()']
['.', '()', '().', '()()', '(.())', '(.(.))', '(.().).']
['.', '()', '().', '()()', '(.())', '(.(.))', '(.()..)']
['.', '()', '().', '()()', '(.())', '(.(.))', '(.(.)).']
['.', '()', '().', '()()', '(.())', '(.(.))', '(.(.).)']
['.', '()', '().', '()()', '(.())', '(..())', '(.())()']
['.', '()', '().', '()()', '(.())', '(..())', '(.().).']
['.', '()', '().', '()()', '(.())', '(..())', '(.()..)']
['.', '()', '().', '()()', '(.())', '(..())', '(..()).']
['.', '()', '().', '()()', '(.())', '(..())', '(..().)']
['.', '()', '().', '()()', '.(())', '((()))', '((())).']
['.', '()', '().', '()()', '.(())', '((()))', '((()).)']
['.', '()', '().', '()()', '.(())', '((()))', '.(())()']
['.', '()', '().', '()()', '.(())', '()()()', '(().())']
['.', '()', '().', '()()', '.(())', '()()()', '()()().']
['.', '()', '().', '()()', '.(())', '()()()', '()()(.)']
['.', '()', '().', '()()', '.(())', '()()()', '()(.())']
['.', '()', '().', '()()', '.(())', '()()()', '().(())']
['.', '()', '().', '()()', '.(())', '()()()', '(.()())']
['.', '()', '().', '()()', '.(())', '()()()', '.(()())']
['.', '()', '().', '()()', '.(())', '()()()', '.(())()']
['.', '()', '().', '()()', '.(())', '.(()).', '((()).)']
['.', '()', '().', '()()', '.(())', '.(()).', '()()(.)']
['.', '()', '().', '()()', '.(())', '.(()).', '.(()())']
['.', '()', '().', '()()', '.(())', '.(()).', '.(())()']
['.', '()', '().', '()()', '.(())', '.(()).', '.(())..']
['.', '()', '().', '()()', '.(())', '.(()).', '.(()..)']
['.', '()', '().', '()()', '.(())', '.(()).', '.((.).)']
['.', '()', '().', '()()', '.(())', '.(()).', '.(.().)']
['.', '()', '().', '()()', '.(())', '.(().)', '((().))']
['.', '()', '().', '()()', '.(())', '.(().)', '.(())()']
['.', '()', '().', '()()', '.(())', '.(().)', '.(().).']
['.', '()', '().', '()()', '.(())', '.(().)', '.(()..)']
['.', '()', '().', '()()', '.(())', '.(().)', '.((..))']
['.', '()', '().', '()()', '.(())', '.(().)', '.(.(.))']
['.', '()', '().', '()()', '.(())', '.((.))', '((().))']
['.', '()', '().', '()()', '.(())', '.((.))', '(((.)))']
['.', '()', '().', '()()', '.(())', '.((.))', '.(().).']
['.', '()', '().', '()()', '.(())', '.((.))', '.(()..)']
['.', '()', '().', '()()', '.(())', '.((.))', '.((.)).']
['.', '()', '().', '()()', '.(())', '.((.))', '.((.).)']
['.', '()', '().', '()()', '.(())', '.(.())', '((().))']
['.', '()', '().', '()()', '.(())', '.(.())', '((.()))']
['.', '()', '().', '()()', '.(())', '.(.())', '.(())()']
['.', '()', '().', '()()', '.(())', '.(.())', '.(().).']
['.', '()', '().', '()()', '.(())', '.(.())', '.(()..)']
['.', '()', '().', '()()', '.(())', '.(.())', '.(.()).']
['.', '()', '().', '()()', '.(())', '.(.())', '.(.().)']
['.', '()', '().', '()..', '(().)', '(()())', '(()()).']
['.', '()', '().', '()..', '(().)', '(()())', '(()().)']
['.', '()', '().', '()..', '(().)', '(().).', '(()().)']
['.', '()', '().', '()..', '(().)', '(().).', '(().())']
['.', '()', '().', '()..', '(().)', '(().).', '(().)()']
['.', '()', '().', '()..', '(().)', '(().).', '(().)..']
['.', '()', '().', '()..', '(().)', '(().).', '(()...)']
['.', '()', '().', '()..', '(().)', '(().).', '((...))']
['.', '()', '().', '()..', '(().)', '(().).', '()..(.)']
['.', '()', '().', '()..', '(().)', '(().).', '(.(()))']
['.', '()', '().', '()..', '(().)', '(().).', '(.(..))']
['.', '()', '().', '()..', '(().)', '(()..)', '(()(.))']
['.', '()', '().', '()..', '(().)', '(()..)', '(().)()']
['.', '()', '().', '()..', '(().)', '(()..)', '(()..).']
['.', '()', '().', '()..', '(().)', '(()..)', '(()...)']
['.', '()', '().', '()..', '(().)', '(()..)', '((.).).']
['.', '()', '().', '()..', '(().)', '(()..)', '((.)..)']
['.', '()', '().', '()..', '(().)', '()..()', '(().())']
['.', '()', '().', '()..', '(().)', '()..()', '(().)()']
['.', '()', '().', '()..', '(().)', '()..()', '((.)())']
['.', '()', '().', '()..', '(().)', '()..()', '((.))()']
['.', '()', '().', '()..', '(().)', '()..()', '()(.())']
['.', '()', '().', '()..', '(().)', '()..()', '().(())']
['.', '()', '().', '()..', '(().)', '()..()', '()..().']
['.', '()', '().', '()..', '(().)', '()..()', '()..(.)']
['.', '()', '().', '()..', '(().)', '()..()', '.(..())']
['.', '()', '().', '()..', '((.))', '(().).', '(().())']
['.', '()', '().', '()..', '((.))', '(().).', '(().)()']
['.', '()', '().', '()..', '((.))', '(().).', '(().)..']
['.', '()', '().', '()..', '((.))', '(().).', '(()...)']
['.', '()', '().', '()..', '((.))', '(().).', '((...))']
['.', '()', '().', '()..', '((.))', '(().).', '()..(.)']
['.', '()', '().', '()..', '((.))', '(()..)', '(().)()']
['.', '()', '().', '()..', '((.))', '(()..)', '(()..).']
['.', '()', '().', '()..', '((.))', '(()..)', '(()...)']
['.', '()', '().', '()..', '((.))', '(()..)', '((.).).']
['.', '()', '().', '()..', '((.))', '(()..)', '((.)..)']
['.', '()', '().', '()..', '((.))', '((.)).', '(((.)))']
['.', '()', '().', '()..', '((.))', '((.)).', '(().())']
['.', '()', '().', '()..', '((.))', '((.)).', '(().)()']
['.', '()', '().', '()..', '((.))', '((.)).', '(().)..']
['.', '()', '().', '()..', '((.))', '((.)).', '(()...)']
['.', '()', '().', '()..', '((.))', '((.)).', '((.)())']
['.', '()', '().', '()..', '((.))', '((.)).', '((.))()']
['.', '()', '().', '()..', '((.))', '((.)).', '((.))..']
['.', '()', '().', '()..', '((.))', '((.)).', '((.)..)']
['.', '()', '().', '()..', '((.))', '((.)).', '((...))']
['.', '()', '().', '()..', '((.))', '((.)).', '()..(.)']
['.', '()', '().', '()..', '((.))', '((.)).', '(..(.))']
['.', '()', '().', '()..', '((.))', '((.).)', '(()..).']
['.', '()', '().', '()..', '((.))', '((.).)', '(()...)']
['.', '()', '().', '()..', '((.))', '((.).)', '((.))()']
['.', '()', '().', '()..', '((.))', '((.).)', '((.).).']
['.', '()', '().', '()..', '((.))', '((.).)', '((.)..)']
['.', '()', '().', '()..', '((.))', '()..()', '(().())']
['.', '()', '().', '()..', '((.))', '()..()', '(().)()']
['.', '()', '().', '()..', '((.))', '()..()', '((.)())']
['.', '()', '().', '()..', '((.))', '()..()', '((.))()']
['.', '()', '().', '()..', '((.))', '()..()', '()(.())']
['.', '()', '().', '()..', '((.))', '()..()', '().(())']
['.', '()', '().', '()..', '((.))', '()..()', '()..().']
['.', '()', '().', '()..', '((.))', '()..()', '()..(.)']
['.', '()', '().', '()..', '((.))', '()..()', '.(..())']
['.', '()', '().', '()..', '()(.)', '(()..)', '(()(.))']
['.', '()', '().', '()..', '()(.)', '(()..)', '(()..).']
['.', '()', '().', '()..', '()(.)', '(()..)', '(()...)']
['.', '()', '().', '()..', '()(.)', '(()..)', '(.(.)).']
['.', '()', '().', '()..', '()(.)', '(()..)', '(.(.).)']
['.', '()', '().', '()..', '()(.)', '()(())', '()(()).']
['.', '()', '().', '()..', '()(.)', '()(())', '()(().)']
['.', '()', '().', '()..', '()(.)', '()(())', '()(.)()']
['.', '()', '().', '()..', '()(.)', '()(())', '(.(()))']
['.', '()', '().', '()..', '()(.)', '()(())', '.((()))']
['.', '()', '().', '()..', '()(.)', '()(.).', '(((.)))']
['.', '()', '().', '()..', '()(.)', '()(.).', '(()...)']
['.', '()', '().', '()..', '()(.)', '()(.).', '()(().)']
['.', '()', '().', '()..', '()(.)', '()(.).', '()(.())']
['.', '()', '().', '()..', '()(.)', '()(.).', '()(.)()']
['.', '()', '().', '()..', '()(.)', '()(.).', '()(.)..']
['.', '()', '().', '()..', '()(.)', '()(.).', '()(...)']
['.', '()', '().', '()..', '()(.)', '()(.).', '()..(.)']
['.', '()', '().', '()..', '()(.)', '()(.).', '(.(.).)']
['.', '()', '().', '()..', '()(.)', '()(.).', '.((.).)']
['.', '()', '().', '()..', '()(.)', '()(..)', '()((.))']
['.', '()', '().', '()..', '()(.)', '()(..)', '()(.)()']
['.', '()', '().', '()..', '()(.)', '()(..)', '()(..).']
['.', '()', '().', '()..', '()(.)', '()(..)', '()(...)']
['.', '()', '().', '()..', '()(.)', '()(..)', '(.(..))']
['.', '()', '().', '()..', '()(.)', '()(..)', '.((..))']
['.', '()', '().', '()..', '()(.)', '()..()', '(().())']
['.', '()', '().', '()..', '()(.)', '()..()', '((.)())']
['.', '()', '().', '()..', '()(.)', '()..()', '()(.())']
['.', '()', '().', '()..', '()(.)', '()..()', '()(.)()']
['.', '()', '().', '()..', '()(.)', '()..()', '().(())']
['.', '()', '().', '()..', '()(.)', '()..()', '()..().']
['.', '()', '().', '()..', '()(.)', '()..()', '()..(.)']
['.', '()', '().', '()..', '()(.)', '()..()', '(...())']
['.', '()', '().', '()..', '()(.)', '()..()', '.(..())']
['.', '()', '().', '()..', '()(.)', '(.(.))', '()(.)()']
['.', '()', '().', '()..', '()(.)', '(.(.))', '(.(.)).']
['.', '()', '().', '()..', '()(.)', '(.(.))', '(.(.).)']
['.', '()', '().', '()..', '()(.)', '(.(.))', '(.(..))']
['.', '()', '().', '()..', '()(.)', '(.(.))', '(...())']
['.', '()', '().', '()..', '()(.)', '.((.))', '(((.)))']
['.', '()', '().', '()..', '()(.)', '.((.))', '()(.)()']
['.', '()', '().', '()..', '()(.)', '.((.))', '.((.)).']
['.', '()', '().', '()..', '()(.)', '.((.))', '.((.).)']
['.', '()', '().', '()..', '()(.)', '.((.))', '.((..))']
['.', '()', '().', '()..', '()(.)', '.((.))', '.(..())']
['.', '()', '().', '()..', '().()', '(()())', '(()()).']
['.', '()', '().', '()..', '().()', '(()())', '(()().)']
['.', '()', '().', '()..', '().()', '(()())', '(()(.))']
['.', '()', '().', '()..', '().()', '((.).)', '((.).).']
['.', '()', '().', '()..', '().()', '((.).)', '((.)..)']
['.', '()', '().', '()..', '().()', '((.).)', '(.(()))']
['.', '()', '().', '()..', '().()', '((.).)', '(..()).']
['.', '()', '().', '()..', '().()', '((.).)', '(..().)']
['.', '()', '().', '()..', '().()', '()(())', '(()().)']
['.', '()', '().', '()..', '().()', '()(())', '()(()).']
['.', '()', '().', '()..', '().()', '()(())', '()(().)']
['.', '()', '().', '()..', '().()', '()(())', '()((.))']
['.', '()', '().', '()..', '().()', '()(())', '()(.())']
['.', '()', '().', '()..', '().()', '()(())', '().()()']
['.', '()', '().', '()..', '().()', '()(())', '(.(()))']
['.', '()', '().', '()..', '().()', '()(())', '.((()))']
['.', '()', '().', '()..', '().()', '().().', '(()().)']
['.', '()', '().', '()..', '().()', '().().', '((.()))']
['.', '()', '().', '()..', '().()', '().().', '((.)..)']
['.', '()', '().', '()..', '().()', '().().', '()(().)']
['.', '()', '().', '()..', '().()', '().().', '().(())']
['.', '()', '().', '()..', '().()', '().().', '().()()']
